compound,icsd,sg,sgname,T11,T22,T33,T12,T13,T23,kappaLmin,kappaLmax,type
Nb1Se2,icsd_076577,187,hexagonal,5.65,5.65,1.68,0.00,0.00,0.00,1.68,5.65,vdW
Nb1Se3,icsd_076578,6,monoclinic,1.38,3.35,2.12,0.00,0.27,0.00,1.29,3.35,vdW
Nb1Se3,icsd_076579,11,monoclinic,1.37,3.30,2.10,0.00,0.27,0.00,1.28,3.30,vdW
Nb1Te2,icsd_014389,12,monoclinic,7.41,6.52,1.77,0.00,2.30,0.00,0.95,8.23,vdW
Nb1Te2,icsd_645529,164,trigonal,13.51,13.51,2.69,0.00,0.00,0.00,2.69,13.51,vdW
Nb2O5,icsd_025765,12,monoclinic,112.99,148.68,124.19,0.00,30.78,0.00,87.31,149.87,vdW
Ni1O2,icsd_078698,166,trigonal,141.56,141.56,2.78,0.00,0.00,0.00,2.78,141.56,vdW
Ni1Se1,icsd_162903,129,tetragonal,2.52,2.52,1.45,0.00,0.00,0.00,1.45,2.52,vdW
Ni1Te1,icsd_076730,166,trigonal,3.59,3.59,2.10,0.00,0.00,0.00,2.10,3.59,vdW
Ni1Te2,icsd_646914,164,trigonal,20.39,20.39,5.55,0.00,0.00,0.00,5.55,20.39,vdW
O1Pb1,icsd_036250,29,orthorhombic,2.06,1.09,7.32,0.00,0.00,0.00,1.09,7.32,vdW
O1Pb1,icsd_062847,67,orthorhombic,9.13,9.12,0.99,0.00,0.00,0.00,0.99,9.13,vdW
O1Pb1,icsd_064778,129,tetragonal,4.62,4.62,0.99,0.00,0.00,0.00,0.99,4.62,vdW
O1Pb1,icsd_653900,57,orthorhombic,0.77,1.29,3.72,0.00,0.00,0.00,0.77,3.72,vdW
O1Sn1,icsd_020624,31,orthorhombic,21.66,2.34,2.93,0.00,0.00,0.00,2.34,21.66,vdW
O1Sn1,icsd_041954,129,tetragonal,13.30,13.30,2.66,0.00,0.00,0.00,2.66,13.30,vdW
O1Ti2,icsd_023574,164,trigonal,192.82,192.82,194.70,0.00,0.00,0.00,192.82,194.70,vdW
O1Ti3,icsd_024082,163,trigonal,42.39,42.39,68.95,0.00,0.00,0.00,42.39,68.95,vdW
O1Ti3,icsd_036055,149,trigonal,27.12,27.12,47.06,0.00,0.00,0.00,27.12,47.06,vdW
O1Ti6,icsd_023576,163,trigonal,96.61,96.61,101.19,0.00,0.00,0.00,96.61,101.19,vdW
O1Tl2,icsd_016220,166,trigonal,1.53,1.53,0.81,0.00,0.00,0.00,0.81,1.53,vdW
O1Tl2,icsd_077699,12,monoclinic,1.53,1.53,0.81,0.00,0.77,0.00,0.33,2.02,vdW
O1Zn1,icsd_181039,186,hexagonal,93.03,93.03,193.55,0.00,0.00,0.00,93.03,193.55,vdW
O2Te1,icsd_167816,19,orthorhombic,5.27,5.67,3.43,0.00,0.00,0.00,3.43,5.67,vdW
O2V1,icsd_074705,14,monoclinic,112.65,77.92,75.01,0.00,84.97,0.00,6.89,180.78,vdW
O3Sb2,icsd_183102,14,monoclinic,2.50,2.18,2.76,0.00,0.62,0.00,2.00,3.26,vdW
O3Y2,icsd_181828,62,orthorhombic,6.71,9.46,5.03,0.00,0.00,0.00,5.03,9.46,vdW
O4Sn3,icsd_174299,13,monoclinic,1.61,3.23,14.20,0.00,-1.61,0.00,1.42,14.39,vdW
O5P2,icsd_079698,62,orthorhombic,4.94,35.59,5.72,0.00,0.00,0.00,4.94,35.59,vdW
O5Ta2,icsd_280396,15,monoclinic,32.11,21.23,20.49,0.00,3.11,0.00,19.72,32.89,vdW
P1Ta1,icsd_108656,141,tetragonal,74.90,74.90,30.81,0.00,0.00,0.00,30.81,74.90,vdW
P2Si1,icsd_043098,55,orthorhombic,2.55,3.92,30.43,0.00,0.00,0.00,2.55,30.43,vdW
Pb1S1,icsd_068701,39,orthorhombic,8.72,8.68,0.57,0.00,0.00,0.00,0.57,8.72,vdW
Pb1S1,icsd_183243,160,trigonal,49.14,49.14,39.20,0.00,0.00,0.00,39.20,49.14,vdW
Pb1S1,icsd_183255,186,hexagonal,9.77,9.77,8.70,0.00,0.00,0.00,8.70,9.77,vdW
Pb1S1,icsd_648451,62,orthorhombic,20.53,12.87,12.87,0.00,0.00,0.00,12.87,20.53,vdW
Pb1Se1,icsd_648514,62,orthorhombic,16.94,10.33,10.33,0.00,0.00,0.00,10.33,16.94,vdW
Pd1S2,icsd_016694,61,orthorhombic,32.89,44.14,1.90,0.00,0.00,0.00,1.90,44.14,vdW
Pd1Te2,icsd_649016,164,trigonal,16.08,16.08,7.58,0.00,0.00,0.00,7.58,16.09,vdW
Pt1S2,icsd_659963,164,trigonal,45.17,45.17,2.75,0.00,0.00,0.00,2.75,45.17,vdW
Pt1Te2,icsd_041373,164,trigonal,22.62,22.62,3.89,0.00,0.00,0.00,3.89,22.62,vdW
Pt2Te3,icsd_041371,166,trigonal,5.59,5.59,1.90,0.00,0.00,0.00,1.90,5.59,vdW
Pt2Te3,icsd_087398,12,monoclinic,5.53,5.96,1.91,0.00,2.23,0.00,0.84,6.59,vdW
Pt3Te4,icsd_041372,166,trigonal,6.17,6.17,2.26,0.00,0.00,0.00,2.26,6.17,vdW
Pt3Te4,icsd_087397,12,monoclinic,6.46,6.37,2.25,0.00,2.38,0.00,1.18,7.53,vdW
S1Sn1,icsd_100672,63,orthorhombic,3.46,2.61,5.88,0.00,0.00,0.00,2.61,5.88,vdW
S1Sn1,icsd_651025,62,orthorhombic,5.74,11.86,5.03,0.00,0.00,0.00,5.03,11.86,vdW
S1Y1,icsd_069042,42,orthorhombic,39.46,39.10,39.40,0.00,0.00,0.00,39.10,39.46,vdW
S1Zr1,icsd_024754,129,tetragonal,55.56,55.56,48.47,0.00,0.00,0.00,48.47,55.56,vdW
S2Sn1,icsd_043003,186,hexagonal,16.54,16.54,1.46,0.00,0.00,0.00,1.46,16.54,vdW
S2Sn1,icsd_650993,164,trigonal,32.61,32.61,1.93,0.00,0.00,0.00,1.93,32.61,vdW
S2Ta1,icsd_043410,160,trigonal,31.46,31.46,1.98,0.00,0.00,0.00,1.98,31.47,vdW
S2Ta1,icsd_068488,194,hexagonal,15.77,15.77,1.23,0.00,0.00,0.00,1.23,15.77,vdW
S2Ta1,icsd_651086,166,trigonal,2.30,2.30,25.18,0.00,0.00,0.00,2.30,25.18,vdW
S2Ta1,icsd_651098,164,trigonal,29.50,29.50,3.01,0.00,0.00,0.00,3.01,29.50,vdW
